Provincia,Fallecidos_Ciudad
Araba/Álava,6
Albacete,5
Alicante/Alacant,29
Almería,8
Ávila,2
Badajoz,9
Balears (Illes),19
Barcelona,76
Burgos,4
Cáceres,2
Cádiz,14
Castellón/Castelló,6
Ciudad Real,3
Córdoba,13
Coruña (A),7
Cuenca,2
Girona,12
Granada,7
Guadalajara,3
Gipuzkoa,6
Huelva,5
Huesca,2
Jaén,7
León,9
Lleida,9
Rioja (La),2
Lugo,3
Madrid,63
Málaga,17
Murcia,19
Navarra,9
Ourense,5
Asturias,9
Palencia,6
Palmas (Las),11
Pontevedra,9
Salamanca,0
Santa Cruz de Tenerife,14
Cantabria,5
Segovia,3
Sevilla,19
Soria,2
Tarragona,8
Teruel,0
Toledo,7
Valencia/València,24
Valladolid,3
Bizkaia,9
Zamora,1
Zaragoza,4
Ceuta,2
Melilla,0
Total,519
